epoch,step,train_loss,val_loss
0,49,0.3248416483402252,
0,99,0.3216249942779541,
0,149,0.3253055512905121,
0,199,0.3261443078517914,
0,220,,0.3201778531074524
1,249,0.31241533160209656,
1,299,0.29909583926200867,
1,349,0.32532334327697754,
1,399,0.3269549310207367,
1,441,,0.3263302445411682
2,449,0.3268718123435974,
2,499,0.3271470367908478,
2,549,0.3231053352355957,
2,599,0.3269410729408264,
2,649,0.32306909561157227,
2,662,,0.3262987434864044
3,699,0.3239085376262665,
3,749,0.3268638849258423,
3,799,0.32703277468681335,
3,849,0.3271561861038208,
3,883,,0.3262358009815216
4,899,0.3271087408065796,
4,949,0.3272331655025482,
4,999,0.3265683948993683,
4,1049,0.3254086375236511,
4,1099,0.2781761884689331,
4,1104,,0.31773778796195984
5,1149,0.3117486238479614,
5,1199,0.29518410563468933,
5,1249,0.2672039866447449,
5,1299,0.321205198764801,
5,1325,,0.286873996257782
6,1349,0.3135092258453369,
6,1399,0.2879490256309509,
6,1449,0.24545753002166748,
6,1499,0.29208433628082275,
6,1546,,0.2804453670978546
7,1549,0.25585460662841797,
7,1599,0.27248942852020264,
7,1649,0.2756141722202301,
7,1699,0.2519802749156952,
7,1749,0.32676345109939575,
7,1767,,0.3266502022743225
8,1799,0.32672059535980225,
8,1849,0.32674533128738403,
8,1899,0.3267749845981598,
8,1949,0.32685673236846924,
8,1988,,0.32614174485206604
9,1999,0.32691264152526855,
9,2049,0.3028651773929596,
9,2099,0.32683295011520386,
9,2149,0.3268720209598541,
9,2199,0.326843798160553,
9,2209,,0.3258722126483917
10,2249,0.3269428312778473,
10,2299,0.3268241882324219,
10,2349,0.32677406072616577,
10,2399,0.3269723355770111,
10,2430,,0.32571202516555786
11,2449,0.32681018114089966,
11,2499,0.3268478512763977,
11,2549,0.3267757296562195,
11,2599,0.32687950134277344,
11,2649,0.32697612047195435,
11,2651,,0.3256361782550812
12,2699,0.326927125453949,
12,2749,0.32695478200912476,
12,2799,0.3267746865749359,
12,2849,0.3271667957305908,
12,2872,,0.32546567916870117
13,2899,0.32682913541793823,
13,2949,0.3270590901374817,
13,2999,0.326896995306015,
13,3049,0.3037669360637665,
13,3093,,0.33192965388298035
14,3099,0.3330205976963043,
14,3149,0.32694733142852783,
14,3199,0.32687705755233765,
14,3249,0.3269403576850891,
14,3299,0.32694196701049805,
14,3314,,0.32544562220573425
15,3349,0.32681336998939514,
15,3399,0.32701969146728516,
15,3449,0.3268604874610901,
15,3499,0.3268223702907562,
15,3535,,0.32552146911621094
16,3549,0.3269006311893463,
16,3599,0.32693034410476685,
16,3649,0.32459840178489685,
16,3699,0.32696887850761414,
16,3749,0.326852023601532,
16,3756,,0.3254329264163971
