epoch,step,train_loss_epoch,train_loss_step,val_dice,val_iou,val_loss
0,9,,1.5005147457122803,,,
0,19,,1.3558924198150635,,,
0,29,,1.2302124500274658,,,
0,39,,1.11431086063385,,,
0,49,,0.9955933094024658,,,
0,59,,0.9186022877693176,,,
0,68,,,0.591259777545929,0.5322245359420776,0.8594822883605957
0,68,1.2092787027359009,,,,
1,69,,0.8777750134468079,,,
1,79,,0.8388077020645142,,,
1,89,,0.8651317954063416,,,
1,99,,0.7761300802230835,,,
1,109,,0.7723072171211243,,,
1,119,,0.7460785508155823,,,
1,129,,0.7156416773796082,,,
1,137,,,0.8374201655387878,0.747120201587677,0.6886568069458008
1,137,0.778927743434906,,,,
2,139,,0.6539710164070129,,,
2,149,,0.6289660930633545,,,
2,159,,0.606913685798645,,,
2,169,,0.5688222050666809,,,
2,179,,0.6227409243583679,,,
2,189,,0.7321439981460571,,,
2,199,,0.5250760316848755,,,
2,206,,,0.8670838475227356,0.7858558297157288,0.5770140290260315
2,206,0.6156058311462402,,,,
3,209,,0.5570266246795654,,,
3,219,,0.5947946310043335,,,
3,229,,0.584940493106842,,,
3,239,,0.45473185181617737,,,
3,249,,0.4492337703704834,,,
3,259,,0.42777568101882935,,,
3,269,,0.5057948231697083,,,
3,275,,,0.8703539967536926,0.7888029217720032,0.48188698291778564
3,275,0.5102338790893555,,,,
4,279,,0.449868381023407,,,
4,289,,0.4041425883769989,,,
4,299,,0.35283273458480835,,,
4,309,,0.3947382867336273,,,
4,319,,0.3748200535774231,,,
4,329,,0.4189065396785736,,,
4,339,,0.4528557360172272,,,
4,344,,,0.8854135274887085,0.8121111989021301,0.41177964210510254
4,344,0.4334779977798462,,,,
5,349,,0.5533392429351807,,,
5,359,,0.41844049096107483,,,
5,369,,0.3149828016757965,,,
5,379,,0.4282870590686798,,,
5,389,,0.4973524212837219,,,
5,399,,0.2986646592617035,,,
5,409,,0.3230951428413391,,,
5,413,,,0.8928564786911011,0.8220096230506897,0.367171049118042
5,413,0.3766372501850128,,,,
6,419,,0.39862728118896484,,,
6,429,,0.2865438163280487,,,
6,439,,0.2124696969985962,,,
6,449,,0.2506634593009949,,,
6,459,,0.23198692500591278,,,
6,469,,0.29265153408050537,,,
6,479,,0.3570413291454315,,,
6,482,,,0.8727504014968872,0.791480302810669,0.3420726954936981
6,482,0.33713871240615845,,,,
7,489,,0.40995630621910095,,,
7,499,,0.24700289964675903,,,
7,509,,0.3452436625957489,,,
7,519,,0.24288681149482727,,,
7,529,,0.22071488201618195,,,
7,539,,0.23835524916648865,,,
7,549,,0.2634681165218353,,,
7,551,,,0.8902631998062134,0.8185746669769287,0.297399640083313
7,551,0.2921265959739685,,,,
8,559,,0.26554572582244873,,,
8,569,,0.2324974089860916,,,
8,579,,0.23568589985370636,,,
8,589,,0.19185930490493774,,,
8,599,,0.3161809742450714,,,
8,609,,0.2330838441848755,,,
8,619,,0.32532522082328796,,,
8,620,,,0.8993439078330994,0.832086980342865,0.26700711250305176
8,620,0.2575737237930298,,,,
9,629,,0.33407360315322876,,,
9,639,,0.24479936063289642,,,
9,649,,0.2662069499492645,,,
9,659,,0.2535291612148285,,,
9,669,,0.24132870137691498,,,
9,679,,0.3025360703468323,,,
9,689,,0.318845272064209,,,
9,689,,,0.8906933665275574,0.8185474276542664,0.23313793540000916
9,689,0.22780537605285645,,,,
10,699,,0.17534564435482025,,,
10,709,,0.14230094850063324,,,
10,719,,0.210606187582016,,,
10,729,,0.21416358649730682,,,
10,739,,0.1734815388917923,,,
10,749,,0.2002311646938324,,,
10,758,,,0.9063116908073425,0.8425804376602173,0.20121259987354279
10,758,0.19084638357162476,,,,
11,759,,0.14688163995742798,,,
11,769,,0.14380857348442078,,,
11,779,,0.169232577085495,,,
11,789,,0.11832921206951141,,,
11,799,,0.13296197354793549,,,
11,809,,0.15193739533424377,,,
11,819,,0.15068012475967407,,,
11,827,,,0.8995600938796997,0.8331761360168457,0.19085486233234406
11,827,0.16370737552642822,,,,
12,829,,0.18294668197631836,,,
12,839,,0.17960041761398315,,,
12,849,,0.17348618805408478,,,
12,859,,0.10217928886413574,,,
12,869,,0.18489018082618713,,,
12,879,,0.09080274403095245,,,
12,889,,0.09753243625164032,,,
12,896,,,0.9097500443458557,0.8481780886650085,0.1676536500453949
12,896,0.1460985690355301,,,,
13,899,,0.10693369805812836,,,
13,909,,0.16336210072040558,,,
13,919,,0.11419916152954102,,,
13,929,,0.14085154235363007,,,
13,939,,0.11943769454956055,,,
13,949,,0.11990728229284286,,,
13,959,,0.09600067138671875,,,
13,965,,,0.8967695236206055,0.8262000679969788,0.18377619981765747
13,965,0.12859755754470825,,,,
14,969,,0.12791992723941803,,,
14,979,,0.1250045746564865,,,
14,989,,0.10609535127878189,,,
14,999,,0.11047036200761795,,,
14,1009,,0.10772939026355743,,,
14,1019,,0.14431630074977875,,,
14,1029,,0.09840506315231323,,,
14,1034,,,0.905439019203186,0.8409299850463867,0.16124166548252106
14,1034,0.12272951751947403,,,,
15,1039,,0.11630305647850037,,,
15,1049,,0.10952379554510117,,,
15,1059,,0.12142389267683029,,,
15,1069,,0.11814310401678085,,,
15,1079,,0.10436476022005081,,,
15,1089,,0.11730308085680008,,,
15,1099,,0.08671308308839798,,,
15,1103,,,0.888839066028595,0.8168988823890686,0.1899208277463913
15,1103,0.11642340570688248,,,,
16,1109,,0.09860580414533615,,,
16,1119,,0.15369871258735657,,,
16,1129,,0.11041611433029175,,,
16,1139,,0.1372140347957611,,,
16,1149,,0.12566371262073517,,,
16,1159,,0.0930447205901146,,,
16,1169,,0.12990233302116394,,,
16,1172,,,0.8993789553642273,0.8334751725196838,0.16493067145347595
16,1172,0.11977992951869965,,,,
17,1179,,0.12101807445287704,,,
17,1189,,0.10191591829061508,,,
17,1199,,0.12133125960826874,,,
17,1209,,0.08705508708953857,,,
17,1219,,0.1034012958407402,,,
17,1229,,0.10995945334434509,,,
17,1239,,0.10777045041322708,,,
17,1241,,,0.9105924963951111,0.8495348691940308,0.14239808917045593
17,1241,0.10136684030294418,,,,
18,1249,,0.097535640001297,,,
18,1259,,0.08656330406665802,,,
18,1269,,0.08532646298408508,,,
18,1279,,0.09718915820121765,,,
