epoch,step,train_loss,val_loss
0,13,,1.084532380104065
1,27,,1.082687258720398
2,41,,1.07817542552948
3,49,1.0783709287643433,
3,55,,1.0560388565063477
4,69,,0.8842871785163879
5,83,,0.6360217928886414
6,97,,0.6324718594551086
7,99,0.7330924272537231,
7,111,,0.607803225517273
8,125,,0.6187488436698914
9,139,,0.6084817051887512
10,149,0.6877723932266235,
10,153,,0.6131235957145691
11,167,,0.6094170808792114
12,181,,0.6080188751220703
13,195,,0.6121769547462463
14,199,0.6255167722702026,
14,209,,0.6077284812927246
15,223,,0.6082763671875
16,237,,0.607754647731781
17,249,0.5976806282997131,
17,251,,0.6071498990058899
18,265,,0.6113938689231873
19,279,,0.6053534150123596
20,293,,0.6036156415939331
21,299,0.7040696740150452,
21,307,,0.6105896830558777
22,321,,0.6021047234535217
23,335,,0.6011326909065247
24,349,0.7043811082839966,
24,349,,0.6081404089927673
25,363,,0.5983913540840149
26,377,,0.6013368964195251
27,391,,0.6106484532356262
28,399,0.5562437772750854,
28,405,,0.5974357724189758
29,419,,0.5961411595344543
30,433,,0.6021137237548828
31,447,,0.5981009602546692
32,449,0.6484990119934082,
32,461,,0.5891780257225037
33,475,,0.5875574946403503
34,489,,0.5975143313407898
35,499,0.7653903365135193,
35,503,,0.5803155303001404
36,517,,0.5717828869819641
37,531,,0.5566891431808472
38,545,,0.542357325553894
39,549,0.5051774382591248,
39,559,,0.5191038250923157
40,573,,0.5016478300094604
41,587,,0.49828705191612244
42,599,0.5308459997177124,
42,601,,0.5025917291641235
43,615,,0.47463151812553406
44,629,,0.4702508747577667
45,643,,0.5261020064353943
46,649,0.5344752669334412,
46,657,,0.4688795506954193
47,671,,0.46834176778793335
48,685,,0.4648319184780121
49,699,0.3976975977420807,
49,699,,0.4547123908996582
50,713,,0.446601927280426
51,727,,0.4445778429508209
52,741,,0.4354332983493805
53,749,0.4732291102409363,
53,755,,0.4484345614910126
54,769,,0.4275757670402527
55,783,,0.42299842834472656
56,797,,0.43451759219169617
57,799,0.489822119474411,
57,811,,0.41764503717422485
58,825,,0.4131496548652649
59,839,,0.42406120896339417
60,849,0.4040086269378662,
60,853,,0.4027704894542694
61,867,,0.4244210720062256
62,881,,0.4014098048210144
63,895,,0.3902893364429474
64,899,0.48770731687545776,
64,909,,0.39378857612609863
65,923,,0.37999576330184937
66,937,,0.3922748863697052
67,949,0.2950802147388458,
67,951,,0.3990054130554199
68,965,,0.37358349561691284
69,979,,0.3677210211753845
70,993,,0.35841992497444153
71,999,0.4354104697704315,
71,1007,,0.35985708236694336
72,1021,,0.3649509847164154
73,1035,,0.36498144268989563
74,1049,0.6301414966583252,
74,1049,,0.3884458541870117
75,1063,,0.3482074737548828
76,1077,,0.3460412323474884
77,1091,,0.35480189323425293
78,1099,0.2917229235172272,
78,1105,,0.3710785508155823
79,1119,,0.33527177572250366
80,1133,,0.3334499001502991
81,1147,,0.3513990342617035
82,1149,0.41825518012046814,
82,1161,,0.33252057433128357
83,1175,,0.3229663074016571
84,1189,,0.3163864016532898
85,1199,0.32411372661590576,
85,1203,,0.3150778114795685
86,1217,,0.3109315037727356
87,1231,,0.3044918179512024
88,1245,,0.3067350685596466
89,1249,0.23465870320796967,
89,1259,,0.30847248435020447
90,1273,,0.30318188667297363
91,1287,,0.3171185851097107
92,1299,0.27464237809181213,
92,1301,,0.30018606781959534
93,1315,,0.3184206187725067
94,1329,,0.31603407859802246
95,1343,,0.31522074341773987
96,1349,0.3134148120880127,
96,1357,,0.28666311502456665
97,1371,,0.2975119948387146
98,1385,,0.2732887268066406
99,1399,0.2908760607242584,
99,1399,,0.2778363823890686
